Player Name,Games Played,Points Per Team Points %,Player Age,Draft Eligibility,Vollman Modifier,Adjusted Point %,"('Position', 'first')","('Adjusted Point %', 'std')","('Season', 'count')"
"Rieder, Tobias",57.333333333333336,0.29800838574423477,19.186895537672893,False,0.6481845766497333,0.18519608916028774,RW,0.05210176384137062,3
"Jenks, AJ",59.666666666666664,0.26017382180696424,18.72287782633722,False,0.7227058210902425,0.1849384691273995,LW,0.029492588451157823,3
"Cizikas, Casey",58.0,0.2544788484440532,18.5423002324803,False,0.7517065826636635,0.1846916901224312,C,0.02885181441978068,4
"Legein, Stefan",30.0,0.2936507936507937,19.313205007310604,False,0.6278992758259174,0.18438312067903928,RW,,1
"Martindale, Ryan",59.5,0.23217815431598302,17.885795300278748,False,0.8571412747752334,0.18414284063786512,C,0.05691956003051153,4
"Arniel, Jamie",41.0,0.25312146335044083,18.553034621323626,False,0.7499826398154258,0.18403489050067068,C,0.026128631623204567,3
"Nemisz, Greg",61.0,0.2586083680524573,18.76171491963077,False,0.7164685839072984,0.18349068120550668,RW,0.028011316652760535,3
"Leivo, Joshua",47.75,0.2853687978687979,19.02003453449254,False,0.6749824537604981,0.182957760073593,LW,0.06268877088409029,4
"Goldowski, Jake",39.0,0.21212121212121213,17.863967004552567,True,0.860646899068858,0.1825614634388487,RW,,1
"Torquato, Zack",64.66666666666667,0.33142994558060646,19.773573301043914,False,0.5539641278523475,0.1825555971419517,C,0.055867662144804875,3
"Caria, Matt",28.25,0.3529834636689475,19.967044523019084,False,0.522892649603135,0.18249935839056475,C,0.020567572615355564,4
"Pelech, Michael",68.0,0.2682399103139014,18.947479662247495,False,0.6866347662430523,0.18232676346323523,C,0.007730073310370813,2
"Maksimov, Kirill",45.5,0.2190096642745119,17.73214711342905,True,0.8818171735832943,0.18227062671366281,RW,0.06378253389176745,4
"Kujawinski, Ryan",37.333333333333336,0.24282037072469173,18.38951754942408,False,0.7762434815624931,0.18131360314945252,C,0.10892115399776946,6
"Hamilton, Dougie",51.75,0.24467376806132674,18.186611143739395,False,0.8088302503154533,0.18106327637027544,D,0.06525722303498331,4
"Felhaber, Tye",47.8,0.22870524037141376,18.12983201373848,True,0.8179489785935999,0.1804747650337093,LW,0.01330037620542319,5
"Dickinson, Jason",61.5,0.23908609498804545,18.2040200745965,False,0.8060343760198025,0.18035866311935983,C,0.013648187725155882,4
"Robertson, Nick",62.0,0.16751269035532995,16.51926708826757,False,1.0766057056242286,0.18034511820101293,C,,1
"de Haan, Calvin",51.666666666666664,0.24856452788917247,18.814252726298015,False,0.708031012156539,0.18027880247030584,LD,0.07129458796795732,3
"Amadio, Mike",64.0,0.2510862693121751,18.29393580147741,False,0.7915939102827282,0.1799391673955679,C,0.055916752695762385,4
"Luff, Matt",56.0,0.2665283276112567,18.85214425417301,False,0.7019456327798146,0.17985967235252964,RW,0.049586442487776494,3
"Kassian, Zack",51.5,0.2557837162005295,18.60225414312883,False,0.7420779846135097,0.179839132863518,RW,0.06207509942928567,4
"Barulin, Vladislav",25.0,0.2857142857142857,19.307792752899534,False,0.6287684838843348,0.17964813825266707,RW,,1
"Korostelev, Nikita",46.666666666666664,0.29707047602550674,19.22815285281249,False,0.6415586518383144,0.1790370857890167,RW,0.04100388717043771,6
"Lemieux, Brendan",39.8,0.2753867623107597,18.724198349954893,False,0.7224937449972442,0.17862385252910076,LW,0.05387292388477001,5
"Ritchie, Brett",43.2,0.23889417595121037,18.2713061653081,False,0.7952282298515191,0.17851752005610527,RW,0.03561928544452372,5
"Ikonen, Henri",55.5,0.29660357791029296,19.419110911336098,False,0.6108907876394227,0.1784971270046779,LW,0.004908094667553234,2
"Der-Arguchintsev, Semyon",65.5,0.18211913657119136,17.009837011132113,True,0.9978201760121823,0.17774351816261647,C,0.04951339738464317,2
"Verhaeghe, Carter",62.75,0.23841277012363404,18.09954572958469,False,0.8228129558286985,0.17742594958794206,C,0.09206295283723169,4
"Rakell, Rickard",48.333333333333336,0.25376285181904257,18.840192309044365,False,0.7038651151674747,0.17733637053235887,C,0.03244461975389807,3
"Blandisi, Joseph",45.0,0.28119754592905516,18.995070073532904,False,0.6789917461906161,0.17720503817193187,RW,0.05173306715117483,5
"Cirelli, Anthony",44.25,0.2590358739458246,18.793034190767376,False,0.7114387089627594,0.17688479408049157,C,0.07363351636812568,4
"Hodgman, Justin",64.5,0.35563789596047657,20.22427764599353,False,0.48158101005343945,0.17595167275172593,C,0.08010684527130259,2
"Bouchard, Evan",59.0,0.2043723703442195,17.32156211849324,True,0.947757123769986,0.17591147054608305,D,0.10424842795408489,3
"Bailey, Justin",40.0,0.25751654304036586,18.889640128315303,False,0.6959237953925623,0.17546565830268443,C,0.043905324994573856,4
"Horvat, Bo",60.0,0.21911138957729262,17.950047952542818,False,0.8468222988216235,0.17534598434555124,LW,0.04926892644278108,3
"Nikiforov, Vladimir",25.5,0.3686440677966102,20.330348491048156,False,0.46454603233766667,0.17358230535754163,RW,0.09554480023042415,2
"Cornel, Eric",65.0,0.24335181912344792,18.404016750260485,False,0.773914909908166,0.1732985941670176,RW,0.05789687545561508,4
"Hughes, John",68.0,0.3568627450980392,20.199422577149807,False,0.48557273410974133,0.1732828188391626,RW,,1
"Wilson, Garrett",59.333333333333336,0.2655671096075894,19.00557521768344,False,0.6773046200400393,0.17321221885085605,LW,0.021892727735857577,3
