Player Name,Position,Team,Season,Games Played,Goals Per Team Goals %,Assists Per Team Assists %,Points Per Team Points %,Total Points,Total Team Points,Player Age
"Jacklin, Brett",RW,Greyhounds, 2017-18 Regular Season,48,0.019138756,0.023923445,0.043062201,9,209,18.05455232
"Brewer, Mitchell",D,Generals, 2017-18 Regular Season,59,0.008928571,0.026785714,0.035714286,8,224,16.99369254
"Grima, Nick",D,Sting, 2017-18 Regular Season,64,0.003533569,0.049469965,0.053003534,15,283,19.03588234
"Hall, Connor",D,Rangers, 2017-18 Regular Season,46,0,0.069620253,0.069620253,11,158,20.0535079
"Shankar, Zach",D,IceDogs, 2017-18 Regular Season,24,0.027027027,0.067567568,0.094594595,7,74,20.90858085
"Langdon, Kyle",C,IceDogs, 2017-18 Regular Season,56,0.014705882,0.044117647,0.058823529,12,204,19.56581205
"Wells, Ryan",D,Steelheads, 2017-18 Regular Season,23,0,0.045454545,0.045454545,4,88,18.58118128
"Parker-Jones, John",RW,Petes, 2017-18 Regular Season,41,0.015748031,0.023622047,0.039370079,5,127,17.91254384
"Brown, Patrick",RW,Battalion, 2017-18 Regular Season,52,0.012903226,0.025806452,0.038709677,6,155,17.99033439
"McNamara, Matt",D,Petes, 2017-18 Regular Season,49,0.006289308,0.031446541,0.037735849,6,159,17.85899306
"Hanley, Jack",D,Bulldogs, 2017-18 Regular Season,63,0.008658009,0.051948052,0.060606061,14,231,19.91374665
"Webb, Reilly",D,Spirit, 2017-18 Regular Season,29,0,0.045454545,0.045454545,3,66,18.87492656
"Ali, Conor",D,Frontenacs, 2017-18 Regular Season,60,0,0.046948357,0.046948357,10,213,19.03212067
"Jackson, Zachary",LW,Bulldogs, 2017-18 Regular Season,42,0.020689655,0.027586207,0.048275862,7,145,19.17477247
"Jakovljevic, Marko",D,Sting, 2017-18 Regular Season,27,0.008130081,0.024390244,0.032520325,4,123,17.26371014
"Babintsev, Gleb",D,Petes, 2017-18 Regular Season,64,0.004761905,0.033333333,0.038095238,8,210,18.19597942
"Beamish, Luke",D,Attack, 2017-18 Regular Season,23,0,0.033707865,0.033707865,3,89,17.54889872
"Stevenson, Thomas",D,Spitfires, 2017-18 Regular Season,66,0.014705882,0.024509804,0.039215686,8,204,18.42896382
"Beraldo, Adrien",D,Petes, 2017-18 Regular Season,51,0.01242236,0.02484472,0.037267081,6,161,18.18228067
"Fowler, Hayden",C,Greyhounds, 2017-18 Regular Season,33,0.013422819,0.013422819,0.026845638,4,149,16.28019807
"Cottam, Harrison",RW,Knights, 2017-18 Regular Season,41,0.020689655,0.020689655,0.04137931,6,145,18.72608331
"Black, Alex",D,Petes, 2017-18 Regular Season,65,0.009708738,0.058252427,0.067961165,14,206,20.51833465
"Kadlec, Adam",C,Spitfires, 2017-18 Regular Season,23,0,0.0375,0.0375,3,80,18.33676902
"Blaisdell, Doug",D,Wolves, 2017-18 Regular Season,54,0,0.08496732,0.08496732,13,153,21.07604039
"Losev, Seva",LW,67's, 2017-18 Regular Season,30,0.021978022,0.010989011,0.032967033,3,91,17.74888014
"Cameron, Christopher",D,Colts, 2017-18 Regular Season,63,0.007407407,0.033333333,0.040740741,11,270,18.80897642
"Davis, Cal",LW,Frontenacs, 2017-18 Regular Season,15,0.039215686,0,0.039215686,2,51,18.65255545
"Hatcher, Kelton",D,Sting, 2017-18 Regular Season,62,0,0.041198502,0.041198502,11,267,18.91767115
"Russell, Mitchell",C,Attack, 2017-18 Regular Season,59,0.012048193,0.016064257,0.02811245,7,249,17.03605797
"Mutter, Navrin",LW,Bulldogs, 2017-18 Regular Season,28,0.018518519,0.009259259,0.027777778,3,108,16.9985684
"Schaefer, Johnathon",D,IceDogs, 2017-18 Regular Season,53,0.005291005,0.047619048,0.052910053,10,189,19.95534703
"Garagan, Ben",C,Bulldogs, 2017-18 Regular Season,50,0.005208333,0.036458333,0.041666667,8,192,19.1985966
"Petizian, Mike",LW,Rangers, 2017-18 Regular Season,40,0.013605442,0.013605442,0.027210884,4,147,17.06605294
"Rowe, Lucas",C,Knights, 2017-18 Regular Season,25,0.0125,0.0125,0.025,2,80,16.5586868
