Player Name,Team,Games Played,Goals Per Team Goals %,Assists Per Team Assists %,Points Per Team Points %,Shots Per Team Shots %,PIM Per Team PIM %,Player Age
"Nassen, Linus",Tigers,44,0.005988023952095809,0.1497005988023952,0.15568862275449102,0.4550898203592814,0.08383233532934131,19.84583508855711,"
"
"Gally, Dalton",Tigers,72,0.007751937984496124,0.03875968992248062,0.046511627906976744,0.36046511627906974,0.21705426356589147,20.145628682914946,"
"
"Rassell, Mark",Tigers,70,0.1984126984126984,0.11904761904761904,0.31746031746031744,1.2301587301587302,0.09126984126984126,21.042788704262527,"
"
"Chyzowski, Ryan",Tigers,72,0.08139534883720931,0.12015503875968993,0.20155038759689922,0.6201550387596899,0.14728682170542637,17.846998545928646,"
"
"Clayton, Cole",Tigers,56,0.010050251256281407,0.02512562814070352,0.035175879396984924,0.2562814070351759,0.12562814070351758,18.05204503706244,"
"
"Kustra, Jake",Blades,71,0.017391304347826087,0.06086956521739131,0.0782608695652174,0.3739130434782609,0.6565217391304348,18.915438963949775,"
"
"Rubinchik, Mark",Blades,67,0.018604651162790697,0.08837209302325581,0.10697674418604651,0.46511627906976744,0.3581395348837209,18.997630738677884,"
"
"Bafaro, Seth",Blades,58,0.016042780748663103,0.0374331550802139,0.053475935828877004,0.22994652406417113,0.3422459893048128,17.840096296631934,"
"
"Goethals, Bradly",Blades,69,0.06578947368421052,0.07456140350877193,0.14035087719298245,0.6052631578947368,0.14035087719298245,19.755164991347034,"
"
"Ramsay, Gage",Blades,63,0.028708133971291867,0.06698564593301436,0.09569377990430622,0.7033492822966507,0.22966507177033493,19.427767731072418,"
"
"MacKenzie, Lukus",Blades,13,0.0,0.09523809523809523,0.09523809523809523,0.40476190476190477,0.5238095238095238,18.515083877354453,"
"
"MacKenzie, Lukus",Rebels,17,0.0,0.1111111111111111,0.1111111111111111,0.3611111111111111,0.8333333333333334,18.66638781403842,"
"
"MacKenzie, Lukus",Winterhawks,29,0.01834862385321101,0.027522935779816515,0.045871559633027525,0.28440366972477066,0.25688073394495414,18.883313926125634,"
"
"Shmyr, Braylon",Blades,72,0.1574468085106383,0.2170212765957447,0.37446808510638296,1.0765957446808512,0.06808510638297872,20.845390714851597,"
"
"Michaud, Dryden",Blades,29,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.21875,0.0,19.820034676065593,"
"
"Hájek, Libor",Blades,33,0.07692307692307693,0.16346153846153846,0.2403846153846154,0.7019230769230769,0.25,19.897282477615605,"
"
"Hájek, Libor",Pats,25,0.043478260869565216,0.10869565217391304,0.15217391304347827,0.7717391304347826,0.043478260869565216,20.116357766928736,"
"
"Farren, Michael",Blades,62,0.05238095238095238,0.05238095238095238,0.10476190476190476,0.46190476190476193,0.19047619047619047,17.91657338105111,"
"
"Fantillo, Caleb",Blades,38,0.05426356589147287,0.023255813953488372,0.07751937984496124,0.4186046511627907,0.3798449612403101,19.908959302327048,"
"
"Christensen, Logan",Blades,51,0.03067484662576687,0.04294478527607362,0.0736196319018405,0.4539877300613497,0.19631901840490798,19.185116742248855,"
"
