"Sokolov, Egor",RW,Screaming Eagles, 2017-18 | Regular Season,50,0.107344633,0.096045198,0.203389831,36,177,17.61829664,0.90050156,0.18315286
"Simoneau, Xavier",C,Voltigeurs, 2017-18 | Regular Season,45,0.07027027,0.102702703,0.172972973,32,185,16.68361046,1.05061216,0.181727509
"Noël, David",D,Foreurs, 2017-18 | Regular Season,21,0.142857143,0.114285714,0.257142857,9,35,18.86250327,0.700681975,0.180175365
"Groulx, Benoit-Olivier",LW,Mooseheads, 2017-18 | Regular Season,53,0.114678899,0.096330275,0.211009174,46,218,17.90971521,0.853699737,0.180138477
"Cyr, Mika",C,Wildcats, 2017-18 | Regular Season,35,0.131147541,0.098360656,0.229508197,28,122,18.34802828,0.783306658,0.179775298
"Campbell, Isiah",LW,Screaming Eagles, 2017-18 | Regular Season,22,0.086419753,0.098765432,0.185185185,15,81,17.20463509,0.966935604,0.179062149
"McIsaac, Jared",D,Mooseheads, 2017-18 | Regular Season,50,0.038834951,0.165048544,0.203883495,42,206,17.77266244,0.875710412,0.1785429
"Paré, Cédric",C,Sea Dogs, 2017-18 | Regular Season,22,0.155172414,0.103448276,0.25862069,15,58,18.93644394,0.688807104,0.178139768
"Michel, Jérémy",LW,Foreurs, 2017-18 | Regular Season,19,0.028571429,0.142857143,0.171428571,6,35,16.76987609,1.0367579,0.177729926
"Rippon, Merrick",D,67's, 2017-18 | Regular Season,1,0,0.2,0.2,1,5,17.72328767,0.88364,0.176728
"Beaucage, Alex",RW,Huskies, 2017-18 | Regular Season,39,0.068181818,0.098484848,0.166666667,22,132,16.63031661,1.059171153,0.176528526
"Clarke, Graeme",RW,67's, 2017-18 | Regular Season,2,0,0.166666667,0.166666667,1,6,16.72328767,1.04424,0.17404
"Demers, Antoine",C,Cataractes, 2017-18 | Regular Season,19,0.08,0.16,0.24,12,50,18.72111204,0.723389406,0.173613458
"Ashe, Thomas",D,Sea Dogs, 2017-18 | Regular Season,1,0.2,0,0.2,1,5,17.84383562,0.86428,0.172856
"Morand, Antoine",C,Titan, 2017-18 | Regular Season,23,0.093333333,0.146666667,0.24,18,75,18.78426884,0.713246425,0.171179142
"Houde, Samuel",LW,Saguenéens, 2017-18 | Regular Season,40,0.110091743,0.091743119,0.201834862,22,109,17.95406907,0.846576507,0.170868653
"Laferrière, Mathias",C,Screaming Eagles, 2017-18 | Regular Season,53,0.0625,0.125,0.1875,36,192,17.56350212,0.90930156,0.170494043
"Martin, Calvin",C,Foreurs, 2017-18 | Regular Season,10,0,0.222222222,0.222222222,2,9,18.44862479,0.767150859,0.170477969
"Abbandonato, Peter",C,Huskies, 2017-18 | Regular Season,50,0.114285714,0.211428571,0.325714286,57,175,19.96730302,0.523251135,0.17043037
"Robert, Félix",C,Phoenix, 2017-18 | Regular Season,18,0.018518519,0.203703704,0.222222222,12,54,18.48595752,0.761155222,0.169145605
"Sévigny, Mathieu",LW,Tigres, 2017-18 | Regular Season,13,0.131578947,0.184210526,0.315789474,12,38,19.89561416,0.534764365,0.168872957
"Miller, Shaun",RW,Armada, 2017-18 | Regular Season,5,0,0.222222222,0.222222222,4,18,18.54417808,0.751805,0.167067778
"Cormier, Dominic",LW,Tigres, 2017-18 | Regular Season,10,0.048780488,0.170731707,0.219512195,9,41,18.52336794,0.755147109,0.165764
"Joseph, Pierre-Olivier",D,Islanders, 2017-18 | Regular Season,49,0.062068966,0.15862069,0.220689655,32,145,18.59993239,0.742850859,0.1639395
"Cheezo, Adam",RW,Foreurs, 2017-18 | Regular Season,16,0.111111111,0.148148148,0.259259259,7,27,19.29707374,0.630889957,0.163564063
"Alexeyev, Yaroslav",RW,Phoenix, 2017-18 | Regular Season,18,0.1,0.14,0.24,12,50,19.00495367,0.67780444,0.162673066
"Boucher, Matthew",LW,Remparts, 2017-18 | Regular Season,50,0.146341463,0.182926829,0.329268293,54,164,20.15383033,0.493294849,0.162426353
"Trépanier, Maxim",LW,Olympiques, 2017-18 | Regular Season,13,0.111111111,0.111111111,0.222222222,6,27,18.74842613,0.719002764,0.159778392
"Trépanier, Maxim",LW,Océanic, 2017-18 | Regular Season,24,0.065789474,0.144736842,0.210526316,16,76,18.51288327,0.756830947,0.159332831
"Senez, Vincent",RW,Cataractes, 2017-18 | Regular Season,14,0.075,0.175,0.25,10,40,19.30906665,0.628963896,0.157240974
"Asselin, Samuel",C,Cataractes, 2017-18 | Regular Season,12,0.09375,0.15625,0.25,8,32,19.33836419,0.624258711,0.156064678
"Boudrias, Karl",D,Foreurs, 2017-18 | Regular Season,11,0.181818182,0,0.181818182,2,11,17.90502729,0.854452617,0.155355021
"Meunier, Félix",LW,Titan, 2017-18 | Regular Season,4,0,0.2,0.2,2,10,18.39075342,0.776445,0.155289
"D'Astous, Charle-Edouard",D,Océanic, 2017-18 | Regular Season,43,0.096153846,0.173076923,0.269230769,42,156,19.64216158,0.575468851,0.154933921
