Player Name,Games Played,Points Per Team Points %,Player Age,Draft Eligibility,Vollman Modifier,Adjusted Point %,League Adjusted Point %,"('Position', 'first')","('Adjusted Point %', 'std')","('Season', 'count')","('League', 'first')"
"Asselin, Patrick",31.5,0.2938636363636363,20.535045996655487,0.0,0.43167161293712897,0.12624258182952358,0.12624258182952358,LW,0.0009091814052497791,2,OHL
"Asselin, Samuel",51.0,0.2667493796526055,19.004678452148077,0.0,0.6774486405850186,0.1774172826949229,0.20942013682106042,C,0.008896342115746152,2,QMJHL
"Ast, Anthony",27.2,0.12360353469383958,18.58493374482059,1.0,0.7448596405818136,0.0945017837820284,0.09183831887731304,C,0.043937363438104025,5,WHL
"Astles, Jessey",42.6,0.055778800395617556,18.78310372857324,0.0,0.7130335411911375,0.030971024621514444,0.030098128535946938,RW,0.018060041278968653,5,WHL
"Asuchak, Spencer",49.5,0.14111831862999483,18.818699161359515,0.0,0.707316914685662,0.09077307088485831,0.0882146970751881,LW,0.03605459430429693,4,WHL
"Athanasiou, Andreas",61.0,0.22541320094568035,18.108187963798848,1.0,0.8214250130139047,0.16760613605461033,0.16760613605461033,LW,0.04972766272250703,4,OHL
"Atkinson, Clinton",42.0,0.07481041196966591,18.545974782593035,0.0,0.7511164499155585,0.05826771800945625,0.05662548422523481,D,0.036089419185655454,2,WHL
"Atkinson, Scott",48.0,0.07692307692307693,17.70137873635266,0.0,0.886758574941763,0.06821219807244332,0.06628968625977216,C,,1,WHL
"Atwal, Arjun",22.5,0.0358451072736787,17.805807953154385,0.0,0.8699872427234059,0.03203431938513826,0.031131455100316324,LW,0.021782551071320756,2,WHL
"Atwal, Arvin",52.0,0.13732113869510257,18.793730467318614,1.0,0.7113268869486306,0.09422573626961492,0.0915700515657796,D,0.01673248203287177,4,WHL
"AuCoin, Parker",63.666666666666664,0.13793074759979365,18.64270575504573,0.0,0.7355814557396559,0.09546988105730776,0.09277913102617612,C,0.028580827165397397,3,WHL
"Aubin, Brent",45.0,0.3508324020951406,19.832352283138892,0.0,0.5445242233278941,0.19038464316475814,0.2247265735027142,C,0.030334404554197118,3,QMJHL
"Aubin, Darren",27.0,0.0,17.224573195516523,0.0,0.9633335448000464,0.0,0.0,LW,,1,QMJHL
"Aubin, Martin",19.0,0.0,20.646037272547268,0.0,0.41384641402890887,0.0,0.0,LW,,1,QMJHL
"Aubin, Mathieu",70.0,0.4309623430962343,19.170984578212654,0.0,0.6507398767390482,0.28044438202561495,0.33103145286861446,C,,1,QMJHL
"Aubry, Louis-Marc",65.0,0.10945273631840796,17.21318451380914,0.0,0.9651625670822526,0.10563968395925152,0.12469516347244296,C,,1,QMJHL
"Aubut, Maxime",43.5,0.09255692518404382,20.305920015099275,0.0,0.468469245575057,0.04503897893246385,0.05316319237363312,D,0.024533639829504992,2,QMJHL
"Aubé, Frédéric",29.5,0.16511936339522548,20.424370886281167,1.0,0.44944603566324504,0.07463579879698988,0.08809874076750271,D,0.02091906336157524,2,QMJHL
"Aucoin, Emanuel",28.0,0.12048192771084335,19.64824406153629,0.0,0.5740920037172721,0.06916771129123758,0.08164430963086268,C,,1,QMJHL
"Aucoin, Yan",63.5,0.09700261780104712,18.00916587409393,0.0,0.8373279606205148,0.08179941962745889,0.09655454863279783,D,0.019357678804909156,2,QMJHL
"Audy-Marchessault, Jonathan",39.0,0.16148663949275363,17.41045290787916,0.0,0.9334812629946068,0.14751455452533124,0.1741234998222453,RW,0.043928006832077426,2,QMJHL
"Auger, Justin",58.666666666666664,0.0996823280257275,18.839219174452595,1.0,0.7040214005829136,0.06879127496435933,0.06879127496435933,RW,0.023702612401786796,3,OHL
"Auger, Kyle",28.666666666666668,0.04256573253350047,18.101821735595372,0.0,0.8224474292633834,0.03361542394147373,0.03607544663504212,D,0.007039374987048313,3,QMJHL
"Auld, Jordan",63.5,0.08516970618034449,18.673446406647432,0.0,0.7306445070924226,0.06351570568709838,0.06351570568709838,D,0.0262295034332415,2,OHL
"Aulie, Keith",64.5,0.10692126658108686,19.252912128860494,0.0,0.6375823121050048,0.06522619119373198,0.06338783784038715,D,0.022321898526465357,2,WHL
"Austin, Brady",61.0,0.09224696580420247,18.752323839172767,0.0,0.7179767914288543,0.061828144990896304,0.061828144990896304,D,0.023564159721821725,5,OHL
"Aviani, Mike",61.5,0.20865173218245828,19.451211842581525,0.0,0.6057353780814072,0.10711269134242908,0.10409379706527763,C,0.043518460018982304,4,WHL
"Ayotte, Mathieu",19.5,0.3296498277841562,20.754094886922662,1.0,0.3964923611602207,0.12876808479625643,0.15199550757740032,RW,0.058588191384709914,2,QMJHL
"Azevedo, Justin",67.0,0.4397163120567376,19.96399328765323,0.0,0.5233826780028914,0.2301399009658104,0.2301399009658104,C,,1,OHL
"Azhgirei, Pavel",15.0,0.024390243902439025,17.545527711633135,0.0,0.9117882495117189,0.022238737792968755,0.021611954940135413,RW,,1,WHL
"Babenko, Egor",66.5,0.2281761177753544,19.621996725454203,0.0,0.5783073258920552,0.13341967683803174,0.12965933906836374,LW,0.040805890106655175,2,WHL
"Baber, Camaryn",11.0,0.07317073170731707,16.845240261130137,0.0,1.0242544140625003,0.07494544493140246,0.07494544493140246,C,,1,OHL
"Babintsev, Gleb",64.0,0.0380952380952381,18.19597941703489,0.0,0.8073257056241965,0.03075526497615987,0.03075526497615987,D,,1,OHL
"Babintsev, Sam",56.333333333333336,0.1841043375071054,19.424299148359133,1.0,0.6100575567735232,0.09951741598628268,0.09951741598628268,RW,0.0458626348973524,3,OHL
"Babych, Cal",38.5,0.07300703731471749,18.609502555271153,0.0,0.7409138896234527,0.05011839241055335,0.04870584151549133,RW,0.012020829943614347,4,WHL
"Bachand, Nicolas",57.0,0.20143256464011183,20.327076179128788,0.0,0.46507156563191665,0.09846253739162991,0.11622339007277553,LW,0.060611094850299474,2,QMJHL
"Backlund, Mikael",28.0,0.27522935779816515,19.996101741513158,0.0,0.5182260603129869,0.14263102577421657,0.138611072750373,C,,1,WHL
"Badalamenti, Ben",34.0,0.0625,18.100749399352893,0.0,0.8226196464639255,0.05141372790399534,0.05141372790399534,RW,,1,OHL
"Baddock, Brandon",58.25,0.12402193056382234,19.41916231721905,1.0,0.6108825318546205,0.06504727942298118,0.06321396856940054,LW,0.028150355895286635,4,WHL
"Baecker, Austin",17.0,0.0,18.73655959873983,0.0,0.7205085284423833,0.0,0.0,D,,1,WHL
"Baer, Alec",54.0,0.1797931262765385,18.690721592136796,0.0,0.7278701123028307,0.12183143260074218,0.11839770117222516,C,0.026154007274696085,6,WHL
"Bafaro, Seth",43.0,0.03163992869875223,17.272494406976016,0.0,0.955637398239652,0.02824579722128209,0.027449709712731817,D,0.0254319557659021,2,WHL
"Bahl, Julien",62.0,0.11518324607329845,20.9237822304442,1.0,0.36924057379066166,0.0425303278711757,0.050202026243078374,D,,1,QMJHL
"Bahl, Kevin",57.0,0.05970664365832615,17.227442340111956,0.0,0.9628727601780198,0.05441345612533829,0.05441345612533829,D,0.04591511198171302,2,OHL
